                  Time        error x        error y        error z
252741490.000000000000000         -0.000          0.029         -0.035
252741500.000000000000000          0.002          0.026         -0.023
252741510.000000000000000          0.001          0.024         -0.004
252741520.000000000000000          0.005          0.025         -0.003
252741530.000000000000000         -0.000          0.025          0.005
252741540.000000000000000          0.001          0.023         -0.006
252741550.000000000000000          0.003          0.024          0.009
252741560.000000000000000          0.002          0.023          0.012
252741570.000000000000000          0.001          0.025         -0.002
252741580.000000000000000         -0.002          0.023         -0.018
252741590.000000000000000         -0.003          0.023         -0.011
252741600.000000000000000          0.000          0.023         -0.003
252741610.000000000000000          0.002          0.030          0.015
252741620.000000000000000         -0.000          0.023         -0.009
252741630.000000000000000         -0.000          0.025         -0.008
252741640.000000000000000         -0.001          0.016          0.004
252741650.000000000000000          0.002          0.018         -0.011
252741660.000000000000000         -0.001          0.024         -0.005
252741670.000000000000000         -0.001          0.033         -0.011
252741680.000000000000000         -0.000          0.028         -0.004
252741690.000000000000000         -0.001          0.022         -0.004
252741700.000000000000000         -0.002          0.016         -0.007
252741710.000000000000000          0.002          0.016          0.004
252741720.000000000000000         -0.002          0.022         -0.008
252741730.000000000000000         -0.002          0.026         -0.008
252741740.000000000000000         -0.002          0.019          0.008
252741750.000000000000000         -0.001          0.021          0.000
252741760.000000000000000          0.004          0.025         -0.008
252741770.000000000000000          0.006          0.021          0.003
252741780.000000000000000         -0.003          0.021         -0.003
252741790.000000000000000         -0.006          0.023         -0.007
252741800.000000000000000         -0.007          0.023         -0.003
252741810.000000000000000         -0.004          0.021         -0.002
252741820.000000000000000          0.000          0.015          0.008
252741830.000000000000000         -0.001          0.014          0.018
252741840.000000000000000         -0.003          0.020         -0.001
252741850.000000000000000         -0.004          0.028         -0.014
252741860.000000000000000          0.002          0.025         -0.002
252741870.000000000000000         -0.003          0.014          0.009
252741880.000000000000000         -0.001          0.020         -0.003
252741890.000000000000000         -0.001          0.024         -0.013
252741900.000000000000000         -0.005          0.018          0.005
252741910.000000000000000         -0.002          0.008          0.030
252741920.000000000000000         -0.002          0.014          0.007
252741930.000000000000000         -0.006          0.016          0.005
252741940.000000000000000         -0.007          0.016          0.005
252741950.000000000000000         -0.009          0.016          0.008
252741960.000000000000000         -0.002          0.020          0.007
252741970.000000000000000          0.001          0.008          0.025
252741980.000000000000000         -0.005          0.016          0.008
252741990.000000000000000         -0.008          0.015          0.006
252742000.000000000000000         -0.004          0.026         -0.001
252742010.000000000000000         -0.002          0.027         -0.006
252742020.000000000000000         -0.005          0.014          0.010
252742030.000000000000000         -0.009          0.013          0.014
252742040.000000000000000         -0.007          0.023          0.010
252742050.000000000000000         -0.005          0.015          0.012
252742060.000000000000000         -0.004          0.017         -0.001
252742070.000000000000000          0.001          0.015          0.010
252742080.000000000000000         -0.005          0.016          0.017
252742090.000000000000000         -0.007          0.005          0.024
252742100.000000000000000         -0.005          0.011          0.022
252742110.000000000000000         -0.005          0.015          0.015
252742120.000000000000000         -0.007          0.024          0.002
252742130.000000000000000         -0.008          0.028         -0.001
252742140.000000000000000         -0.003          0.018          0.012
252742150.000000000000000         -0.004          0.017          0.013
252742160.000000000000000         -0.002          0.021          0.010
252742170.000000000000000         -0.004          0.017          0.011
252742180.000000000000000         -0.002          0.021          0.008
252742190.000000000000000         -0.003          0.018          0.012
252742200.000000000000000         -0.005          0.018          0.014
252742210.000000000000000         -0.010          0.018          0.012
252742220.000000000000000         -0.008          0.020          0.013
252742230.000000000000000         -0.007          0.017          0.015
252742240.000000000000000         -0.008          0.015          0.006
252742250.000000000000000         -0.006          0.024          0.005
252742260.000000000000000         -0.007          0.018          0.008
252742270.000000000000000         -0.004          0.026          0.003
252742280.000000000000000         -0.000          0.024          0.002
252742290.000000000000000         -0.008          0.018          0.008
252742300.000000000000000         -0.005          0.015          0.018
252742310.000000000000000         -0.002          0.018          0.007
252742320.000000000000000         -0.007          0.022          0.008
252742330.000000000000000         -0.012          0.021          0.010
252742340.000000000000000         -0.011          0.020          0.005
252742350.000000000000000         -0.007          0.024          0.007
252742360.000000000000000         -0.010          0.021          0.011
252742370.000000000000000         -0.001          0.024          0.004
252742380.000000000000000         -0.009          0.016          0.009
252742390.000000000000000         -0.005          0.022          0.012
252742400.000000000000000         -0.007          0.022          0.008
252742410.000000000000000         -0.007          0.023          0.008
252742420.000000000000000         -0.006          0.019          0.008
252742430.000000000000000         -0.005          0.013          0.008
252742440.000000000000000         -0.008          0.019          0.009
252742450.000000000000000         -0.004          0.025          0.005
252742460.000000000000000         -0.006          0.026          0.011
252742470.000000000000000         -0.009          0.023          0.009
252742480.000000000000000         -0.010          0.026          0.008
252742490.000000000000000         -0.016          0.026          0.008
252742500.000000000000000         -0.009          0.026          0.009
252742510.000000000000000          0.000          0.024          0.010
252742520.000000000000000          0.003          0.024          0.008
252742530.000000000000000         -0.006          0.024          0.008
252742540.000000000000000         -0.025         -0.002          0.012
252742550.000000000000000         -0.017          0.002          0.009
